Row Labels,General,Occupations,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11,Management Occupations,Administrative Services Managers,3.12,4,3.25,3.75,3.75,1,1.12,1,3,3.25,3,2.88,2.88,3.38,2.25,3.38,3.62,1.62,2.75,2.25,3,1.38,2.25,4,1,1,3.25,3.25,3.88,3.12,2.75,1.5,4,1.88,3.75
11,,Advertising and Promotions Managers,3.25,4.12,3.5,3.5,4,1,1.12,1,2.88,3.75,3,2.75,2.62,3.12,3,3.25,3.12,1,2.75,1.62,3.38,1.75,1.62,3.75,1,1.62,3.12,4,4,3.12,3.12,1.75,3.5,1,3.75
11,,Architectural and Engineering Managers,3.88,4,4,3.75,3.88,1.12,1,1,3.25,3.88,3.25,2.88,2.88,3.25,3.88,3.75,3.12,1.5,2.38,2.5,3.12,1.88,3,4.12,1,2.62,3.25,3.5,4,3.12,3,1.88,3.88,2,4
11,,Biofuels Production Managers,3.25,3.75,3.38,3.62,3.88,1.5,1.25,1,3.25,3.5,3.38,3,2.75,3.88,3,3.75,3,3.12,2.12,3,3.12,2.12,2.62,3.88,1.12,3,3.25,3.38,3.62,3.25,3,1.88,3.5,2.25,3.5
11,,Biofuels/Biodiesel Technology and Product Development Managers,3.25,3.5,3.62,3.25,3.62,1.75,2.25,1.12,3,3.62,2.88,2,2,3.12,3.12,3.25,2.88,2.25,2.38,3,3,2,3.12,3.62,1.75,3.12,2.88,2.88,3.62,3.62,3.5,2.12,3.25,2,3.62
11,,Biomass Power Plant Managers,3.12,3.88,3.75,3.75,4,2.38,2.12,1,3.25,3.75,3,3.12,3.12,3.75,3,3.88,2.88,3,2.12,3.38,3,1.62,3.12,3.88,2.25,2.5,2.75,3.25,4,3.12,3.12,1.62,3.62,3,3.12
11,,Brownfield Redevelopment Specialists and Site Managers,3.25,3.88,4.12,4,4,1,1.25,1,3,4,3,3.12,2.88,2.88,3.62,4,3.5,2,3,2.62,3.12,1.62,2.75,4,1,3,2.88,3.25,4,3.38,3.62,1.75,3.38,1.5,3.88
11,,Chief Executives,4,4.12,4.38,4.25,4.38,1,1.12,1,3.12,4.5,3.12,4.12,3.88,4.25,3.25,4.12,4.12,1.75,3.12,1.88,4.12,1.62,1.75,4.12,1,1.88,3.12,4.25,4.38,4.12,4.12,1.75,4,1,4
11,,Chief Sustainability Officers,3.75,4,4,3.75,4.12,1,1.12,1,3.25,3.88,3.38,2.88,2.25,3.12,2.88,3.75,3.12,2,2.88,2,3.88,1.88,1.88,4,1,2.12,3.25,3.88,4,3.88,3.88,1.88,3.38,1,4.12
11,,Clinical Research Coordinators,3.38,4,3.62,3.88,3.75,1,1.12,1,3.12,3.62,3.12,2.38,2.75,3.5,2.88,3.62,2.88,1.12,1.62,1.75,3,1.62,1.75,4,1,3,3,3.62,3.88,2.88,2.88,1.62,3.5,1.38,4
